epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,0.719044,1.56598,4.47066,1.44598,0.11111,1,0.74625,0.42288,0.39958,3.71011,0.62562,0,0,0,0,0,0,0,0
2,1.46867,1.66559,4.39328,1.57432,0.11111,1,0.74625,0.42288,0.40051,3.70751,0.62117,2.12079e-05,7.06931e-06,2.12079e-05,7.06931e-06,2.12079e-05,7.06931e-06,2.12079e-05,7.06931e-06
3,2.13914,1.37074,4.60464,1.49719,0.11111,1,0.74625,0.42288,0.39394,3.70359,0.61193,4.19918e-05,1.39973e-05,4.19918e-05,1.39973e-05,4.19918e-05,1.39973e-05,4.19918e-05,1.39973e-05
4,2.79872,1.45349,4.55057,1.50726,0.11111,1,0.74625,0.37312,0.39444,3.70065,0.60607,6.23515e-05,2.07838e-05,6.23515e-05,2.07838e-05,6.23515e-05,2.07838e-05,6.23515e-05,2.07838e-05
5,3.43656,1.36901,4.41706,1.44527,0.11111,1,0.4975,0.2985,0.40259,3.69922,0.60782,8.22871e-05,2.7429e-05,8.22871e-05,2.7429e-05,8.22871e-05,2.7429e-05,8.22871e-05,2.7429e-05
6,4.14088,1.45202,4.48978,1.45891,0.1,1,0.4975,0.29228,0.39971,3.69423,0.59717,0.000101799,3.39329e-05,0.000101799,3.39329e-05,0.000101799,3.39329e-05,0.000101799,3.39329e-05
7,4.7938,1.59013,4.32131,1.45003,0.1,1,0.41458,0.28192,0.40492,3.69071,0.5945,0.000120886,4.02953e-05,0.000120886,4.02953e-05,0.000120886,4.02953e-05,0.000120886,4.02953e-05
8,5.43273,1.38754,4.48059,1.45009,0.1,1,0.37312,0.27777,0.40068,3.6846,0.58516,0.000139549,4.65164e-05,0.000139549,4.65164e-05,0.000139549,4.65164e-05,0.000139549,4.65164e-05
9,6.19256,1.67508,4.52036,1.52929,0.1,1,0.37312,0.27777,0.40866,3.68088,0.57886,0.000157788,5.25961e-05,0.000157788,5.25961e-05,0.000157788,5.25961e-05,0.000157788,5.25961e-05
10,6.87343,1.18713,4.46047,1.357,0.1,1,0.34825,0.30016,0.40192,3.67676,0.57111,0.000175603,5.85344e-05,0.000175603,5.85344e-05,0.000175603,5.85344e-05,0.000175603,5.85344e-05
11,7.98051,1.38344,4.45265,1.45141,0.1,1,0.33167,0.30956,0.40804,3.6738,0.56917,0.000192994,6.43314e-05,0.000192994,6.43314e-05,0.000192994,6.43314e-05,0.000192994,6.43314e-05
12,9.32521,1.442,4.51138,1.49721,0.1,1,0.33167,0.30956,0.40907,3.67134,0.56578,0.000209961,6.9987e-05,0.000209961,6.9987e-05,0.000209961,6.9987e-05,0.000209961,6.9987e-05
13,10.1269,1.50103,4.35803,1.48711,0.1,1,0.33167,0.30679,0.42827,3.66522,0.55981,0.000226504,7.55012e-05,0.000226504,7.55012e-05,0.000226504,7.55012e-05,0.000226504,7.55012e-05
14,11.1551,1.48396,4.39453,1.47691,0.1,1,0.33167,0.30916,0.43078,3.66,0.54913,0.000242622,8.08741e-05,0.000242622,8.08741e-05,0.000242622,8.08741e-05,0.000242622,8.08741e-05
15,12.114,1.43242,4.43812,1.46042,0.1,1,0.34825,0.31414,0.43224,3.65676,0.54632,0.000258317,8.61055e-05,0.000258317,8.61055e-05,0.000258317,8.61055e-05,0.000258317,8.61055e-05
16,13.0654,1.5685,4.53278,1.54117,0.09545,1,0.34825,0.32006,0.43779,3.65339,0.54833,0.000273587,9.11957e-05,0.000273587,9.11957e-05,0.000273587,9.11957e-05,0.000273587,9.11957e-05
17,14.2717,1.48897,4.43503,1.49812,0.09091,1,0.34825,0.32835,0.46893,3.65497,0.56401,0.000288433,9.61444e-05,0.000288433,9.61444e-05,0.000288433,9.61444e-05,0.000288433,9.61444e-05
18,15.0743,1.64132,4.47479,1.52661,0.09091,1,0.34825,0.32835,0.46893,3.65497,0.56401,0.000302855,0.000100952,0.000302855,0.000100952,0.000302855,0.000100952,0.000302855,0.000100952
19,15.9062,1.59514,4.42524,1.52425,0.08712,1,0.37312,0.32337,0.58101,3.66591,0.61245,0.000316853,0.000105618,0.000316853,0.000105618,0.000316853,0.000105618,0.000316853,0.000105618
20,16.537,1.31299,4.38363,1.43386,0.08712,1,0.37312,0.32337,0.58101,3.66591,0.61245,0.000330427,0.000110142,0.000330427,0.000110142,0.000330427,0.000110142,0.000330427,0.000110142
